2023-09-05 15:49:46,082 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7823a2f9: startup date [Tue Sep 05 15:49:46 UTC 2023]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2023-09-05 15:49:46,908 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/data/activemq/kahadb] | org.apache.activemq.broker.BrokerService | main
2023-09-05 15:49:47,255 | INFO  | PListStore:[/data/activemq/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2023-09-05 15:49:47,535 | INFO  | JobSchedulerStore: /data/activemq/localhost/scheduler started. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2023-09-05 15:49:47,697 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:myActivemq-46555-1693928987569-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2023-09-05 15:49:47,746 | INFO  | Listening for connections at: tcp://myActivemq:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-09-05 15:49:47,748 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2023-09-05 15:49:47,752 | INFO  | Listening for connections at: amqp://myActivemq:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-09-05 15:49:47,754 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2023-09-05 15:49:47,758 | INFO  | Listening for connections at: stomp://myActivemq:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-09-05 15:49:47,760 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2023-09-05 15:49:47,765 | INFO  | Listening for connections at: mqtt://myActivemq:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-09-05 15:49:47,766 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2023-09-05 15:49:47,908 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@7b8b43c7{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | main
2023-09-05 15:49:47,947 | INFO  | Listening for connections at ws://myActivemq:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2023-09-05 15:49:47,947 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2023-09-05 15:49:47,949 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:myActivemq-46555-1693928987569-0:1) started | org.apache.activemq.broker.BrokerService | main
2023-09-05 15:49:47,950 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2023-09-05 15:49:47,952 | WARN  | Store limit is 102400 mb (current store usage is 0 mb). The data directory: /data/activemq/kahadb only has 1210 mb of usable space. - resetting to maximum available disk space: 1210 mb | org.apache.activemq.broker.BrokerService | main
2023-09-05 15:49:47,953 | WARN  | Temporary Store limit is 51200 mb (current store usage is 0 mb). The data directory: /data/activemq/localhost only has 1210 mb of usable space. - resetting to maximum available disk space: 1210 mb | org.apache.activemq.broker.BrokerService | main
2023-09-05 15:49:48,510 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2023-09-05 15:49:48,729 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2023-09-05 15:49:48,729 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2023-09-05 15:49:48,777 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2023-09-05 15:49:48,972 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2023-09-05 15:49:49,060 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | main
